DLP,DLPC,name,store,color,code,category,total_inventory,total_quantity,date
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/06
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/08
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/08
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/09
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/10
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/10
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/10
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/10
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/10
MO-APPLE-13-R4-5G-128GB-CH-NotActive,MO-APPLE-13-R4-5G-128GB-BLK,گوشی موبایل اپل 13 مشکی/R4/128GB/5G/شرکتی/CH/NotActive/(R),چارسو,مشکی,1110450043200025,گوشی موبایل,0,1,1403/07/11
